  Table : gident_346.tfits 
 Sequence  CENTER       INT        FWHM       FLUX      
      395  3790.071533    2.60741    0.07797    0.31448
      396  3790.701172    2.03355    0.08299    0.23696
      397  3791.259521    2.14472    0.13535    0.25562
      398  3791.963623    2.16644    0.15308    0.25963
      399  3794.464844    1.68252    0.06270    0.19254
      400  3794.734131    2.14261    0.09004    0.23629
      401  3795.065674    2.00882    0.08857    0.25047
      402  3795.361084    1.84355    0.13668    0.19644
      403  3796.420410    2.12310    0.10390    0.23008
      404  3797.462646    1.61550    0.07702    0.17265
      405  3799.055664    1.68207    0.09166    0.20030
 -------- ------------ ---------- ---------- ----------
